Job_Offer,Classification
"Chargés de Clientèle en Assistance Technique - Casablanca - Call Centers (métiers de) - Informatique / Electronique - De 1 à 3 ans - 10 poste(s) sur Casablanca et région - Maroc - Bac +2 - no info - nan - Le chargé de clientèle en assistance technique a la principale mission de Recueillir puis traiter à distance les requêtes d'utilisateurs en difficulté au regard d'une utilisation de matériel informatique. Rattaché au responsable d'équipe, la mission consiste à : Gérer des demandes des utilisateurs par téléphone de manière optimale Diagnostiquer des problèmes système et réseau Prendre en compte et résoudre des incidents Traiter les demandes de changement en provenance des utilisateurs Avant de prendre en charge votre mission, une formation complète est assurée afin de vous préparer aux responsabilités qui vous seront confiées. - Compétences: Parfaite maîtrise de la langue française, avec une bonne aisance à l’oral. Sens de l’écoute et de l’orientation. Bonne capacité de diagnostic et d'analyse. Connaissance générale des concepts de base et des techniques d’architecture des systèmes et des réseaux. Connaissance générale des différents systèmes d’exploitation usuels, des architectures matérielles, logicielles et de télécommunications. Expérience requise: Vous disposez idéalement d’une expérience réussie en assistance technique. Le + Intelcia Chez Intelcia, Vous êtes un talent qui va s’épanouir, grâce à notre management de proximité et à notre politique de formation et de développement. Nous vous offrons des opportunités de carrière au sein d’une entreprise en croissance continue, en plus d’une rémunération motivante et autres avantages (mutuelle..), vous aurez accès à un environnement de travail conçu autour de votre bien être (espaces de confort et restauration, transport, animations de la vie de l’entreprise). Chez Intelcia, vous faites partie d’une équipe qui partage des valeurs fortes : Transparence, Engagement, Excellence, Innovation . Votre réussite nous passionne. - nearshore Park 1100, Boulevard Al Qods - nan - nan - nan",0
1  42 PHP 3 - zerzer - Journalisme / Traduction - Administration des ventes / SAV - Débutant - Agadir et région - Afghanistan - Qualification avant Bac - no info - Rationalisme|Besoin d'autonomie|Recherche de nouveauté|Improvisation|Implication au travail - rwerwerwe. - nan - nan - nan - nan - nan,0
"JAVA - PARIS (75) - Communication / Publicité / RP - Audit / Conseil - De 5 à 10 ans - Meknès et région - Maroc - nan - no info - Flexibilité|Extraversion|Ambition|Recherche de nouveauté|Organisation|Rationalisme|Besoin de réflexion - Vous maîtrisez les environnements Java / J2EE / JSP / Tomcat / Struts. Vous souhaitez évoluer à terme vers des responsabilités de Chef de Produit et encadrer une équipe de développeurs de haut niveau. - Ingénieur Motivé(e), rigoureux(se), polyvalent(e) et organisé(e) maitrise des environnements Javaaaaa - nan - Poste avec Management - nan - nan",1
"110   Negotiator - Berlin - Audit / Conseil - Assurance / Courtage - Débutant - Autres régions - Albanie - Autodidacte - no info - Flexibilité|Organisation|Rationalisme|Besoin de réflexion - I'm looking for a negotiator - nan - 2 rue Al Hatimi 5ème étage, angle bd Brahim Roudani - Al Batha - nan - nan - nan",0
"Responsable logistique et prodruction - Mohamédia - Production / Qualité / Sécurité / Maintenance - Aéronautique / Spatial - De 3 à 5 ans - 3 poste(s) sur Casablanca et région - Maroc - nan - no info - Besoin d'objectivité|Ténacité|Organisation|Rationalisme|Respect des règles - nan - Ingénieur de formation mécanique ou BAC + 2 minimum, vous disposez d’une solide expérience en gestion de production. - nan - nan - nan - nan",0
"Consultant Junior - Tétouan - Audit / Conseil - Conseil / Etudes - Moins de 1 an - 1 poste(s) sur Tanger et région - Maroc - nan - no info - Flexibilité|Organisation|Rationalisme|Besoin de réflexion - nan - H/F. Issu d'une grande école d'Ingénieurs ou de Commerce, vous êtes débutant ou justifiez de 2 ans d’expérience. Parfaitement opérationnel en anglais, vous avez de bonnes qualités relationnelles ainsi que le goût pour la conduite d'opérations ou de Projets. Vous serez formé à nos démarches et méthodes. - nan - nan - nan - nan",0
"Secrétaire Comptable - Bouznika - Assistanat de Direction / Services Généraux - Call Centers (métiers de) - Débutant - 1 poste(s) sur Rabat et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Conventionnel|Distance émotionnelle - nan - H/F. Vous possédez une formation bac+2 de type BTS comptabilité-gestion, secrétariat, Informatique de Gestion, DUT GEA. Vous manifestez un certain intérêt pour les chiffres. Vous disposez d'une présentation soignée et d'excellentes aptitudes relationnelles. Vous possédez le sens du service. Vous êtes disponible, ponctuelle, polyvalente et vous êtes capable de gérer différentes tâches en même temps. - nan - nan - nan - nan",0
Intitulé du poste - Ville - Coursier / Gardiennage / Propreté - Agriculture / Environnement - De 5 à 10 ans - 2 poste(s) sur Béni Mellal et région - Autriche - nan - no info - Organisation|Respect des règles|Conventionnel|Introversion - Description du poste - Profil du candidat - nan - nan - nan - nan,0
"Directeur Administratif et Financier - Casablanca - Responsable de Département - Gestion / Comptabilité / Finance - De 5 à 10 ans - 1 poste(s) sur Casablanca et région - Maroc - nan - no info - Flexibilité|Extraversion|Organisation|Rationalisme|Implication au travail|Besoin d'objectivité|Respect des règles|Conventionnel - Rattaché à la Direction Générale, vous serez en charge des aspects financiers et comptables de la société. - - Bac+4-5 et disposant de 8-10 ans d’expérience professionnelle avec une expérience probante en encadrement d’équipes financières, contrôle de gestion, audit, comptables… - Excellente connaissance des normes comptables, financières et fiscales marocaines ; - Excellent niveau de français et très bon niveau d’anglais ; - Orientés process, chiffres, résultats… ; - Bonnes capacités d’analyse et de gestion du stress - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
"Sales Managers Hispanophones - Casablanca - Commercial / Vente / Export - Call Centers (métiers de) - De 5 à 10 ans - 5 poste(s) sur Casablanca et région - Maroc - nan - no info - Volonté de persuasion|Extraversion|Intuition / Spontanéité|Ambition|Flexibilité|Distance émotionnelle - """"Votre mission consistera à assurer la responsabilité du chiffre d’affaire, de la marge à générer et d’un nombre d’ouvertures de comptes, à veiller à l'atteinte du Chiffre d'Affaire et de la marge attribué par le management, à animer, coacher, former et recruter chacun des membres de votre équipe. Vous développerez la performance des membres de l’équipe grâce à une revue hebdomadaire sur les performances de chaque commercial et sur l’équipe, avec des entretien mensuels avec les membres de l’équipe sur leurs performances (résultats, problèmes rencontrés, mesure des objectifs, plan d’amélioration des performances si nécessaire), et un entretien annuel (fin d’année) avec chaque membre de l’équipe. Vous assurerez l'évolution des membres de l’équipe au sein de l'entreprise. Vous serez responsable des prévisions des ventes (hebdomadaires, mensuelles et trimestrielles), afin d’optimiser la logistique de l'entreprise et fournirez des données fiables pour la structure commerciale vis à vis de l’équipe de management. Vous aurez un entretien hebdomadaire avec le top management sur le statut du business à un instant donné (Marge et chiffre d’affaire facturés vs objectifs, productivité par commercial, croissance annuelle, marge et chiffre d’affaire par commercial) et fournirez, à la fin de l’année, une revue sur l’année suivante intégrant au moins les différents éléments précités. Vous assurerez la résolution des problèmes commerciaux qui touchent la satisfaction des clients et l’image de l'entreprise vis à vis des prospects. Vous vous impliquerez commercialement dans les affaires importantes. Vous serez le relais des membres de l’équipe auprès de la direction pour mener à bien l’adéquation aux réalités “terrain” des actions entreprises, et auprès des autres services pour faciliter le fonctionnement de l’ensemble. Vous coordonnerez l’évolution des équipes transversales aux équipes de ventes : nécessité d’avoir une vision globale de l’activité.'"""" - - Bac+4-5 et disposant de 6-7 ans d’expérience professionnelle avec une expérience probante en encadrement d’équipes commerciales, - Totalement bilingue en français / espagnol ou anglais / espagnol ; - Expérience à l’international ou en environnement multinationale dans un contexte de forte croissance ; - Orientés process, chiffres, résultats… ; - Sensibles au services client ; - Bonnes capacités d’analyse et de gestion du stress Poste évolutif et Rémunération motivante. Confidentialité garantie. Merci d'envoyer votre dossier de candidature à l'e-mail indiqué comprenant un CV mis à jour, une lettre de motivation, vos prétentions salariales ainsi que vos disponibilités. - 400 Boulevard Zektouni - Poste avec Management - nan - nan",0
